phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
6179_2,Mineral and other dietary supplements: Glucosamine,both_sexes,0.017,0.0016,0.035,0.0033,25.94,1.03,0.0072,0.1913 (0.0409),1.16,1.18,19.5,1178,360016,70218.0,289798.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,"ACE touchscreen question ""Do you regularly take any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
I83,Diagnoses - main ICD10: I83 Varicose veins of lower extremities,both_sexes,0.017,0.0018,0.1237,0.0133,20.75,1.05,0.0083,0.2474 (0.0437),1.14,1.19,2.43,0,361194,8763.0,352431.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
20530,Witnessed sudden violent death,both_sexes,0.017,0.0037,0.0422,0.0093,5.66,1.01,0.0067,0.2304 (0.1035),1.06,1.07,13.54,243332,117862,15959.0,101903.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20530,"Question asked: ""In your life, have you...? Witnessed a sudden violent death (eg. murder, suicide, aftermath of an accident)"""
M17,Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee],both_sexes,0.0168,0.0017,0.1013,0.0103,22.61,1.04,0.0083,0.1974 (0.0459),1.16,1.18,3.18,0,361194,11497.0,349697.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
6164_100,Types of physical activity in last 4 weeks: None of the above,both_sexes,0.0168,0.0016,0.0675,0.0062,25.36,1.04,0.006999999999999999,0.2239 (0.0398),1.16,1.18,5.92,1931,359263,21255.0,338008.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164,"ACE touchscreen question ""In the last 4 weeks did you spend any time doing the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Strenuous sports include sports that make you sweat or breathe hard. Heavy DIY includes chopping wood, home or car maintenance, lifting heavy objects or using heavy tools. "
6146_3,Attendance/disability/mobility allowance: Blue badge,both_sexes,0.0167,0.0016,0.0936,0.0088,25.08,1.03,0.0073,0.1834 (0.0427),1.16,1.17,3.55,2597,358597,12733.0,345864.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6146,"ACE touchscreen question ""Do you receive any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Only select a response if you personally receive the benefit. Do not include if your spouse or someone in your household receives one of these benefits. "
20002_1074,"Non-cancer illness code, self-reported: angina",both_sexes,0.0164,0.0017,0.0994,0.0105,21.6,1.04,0.0077,0.2392 (0.0415),1.16,1.19,3.15,53,361141,11370.0,349771.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
R07,Diagnoses - main ICD10: R07 Pain in throat and chest,both_sexes,0.0161,0.0015,0.0592,0.0054,26.45,1.03,0.0068,0.1576 (0.0426),1.15,1.16,6.79,0,361194,24530.0,336664.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
K57,Diagnoses - main ICD10: K57 Diverticular disease of intestine,both_sexes,0.0158,0.0015,0.0893,0.0086,25.52,1.03,0.006999999999999999,0.1792 (0.0417),1.14,1.17,3.51,0,361194,12662.0,348532.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
6154_1,"Medication for pain relief, constipation, heartburn: Aspirin",both_sexes,0.0158,0.0017,0.0384,0.004,20.13,1.04,0.0072,0.2181 (0.0408),1.15,1.18,14.06,4110,357084,50204.0,306880.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,"ACE touchscreen question ""Do you regularly take any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Some over the counter medicines are known by other names. Please enter the corresponding name if you take any of the following REGULARLY (that is, most days of the week for the last 4 weeks): Aspirin: Alka Rapid Crystals, Alka-Seltzer XS, Anadin Extra, Anadin Original, Askit powders, Aspro Clear, Codis 500, Disprin, Disprin Extra Ibuprofen: Anadin Ultra, Anadin Ibuprofen, Cuprofen Plus, Nurofen, Solpaflex, Ibuleve Paracetamol: Anadin Extra, Hedex Extra, Panadol, Paracodol, Paramol, Solpadeine, Syndol, Veganin, Feminax, Midrid, Migraleve Codeine: Codis 500, Cuprofen Plus, Nurofen Plus, Panadol Ultra, Paracodol, Paramol, Solpadeine Max, Sopadeine Plus, Solpafelx, Syndol, Veganin, Feminax, Migraleve "
20110_9,Illnesses of mother: Diabetes,both_sexes,0.0158,0.0017,0.0483,0.0052,20.13,1.04,0.009000000000000001,0.2251 (0.0568),1.13,1.16,9.29,30052,331142,30772.0,300370.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Has/did your mother ever suffer from? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses."
20111_9,Illnesses of siblings: Diabetes,both_sexes,0.0157,0.0018,0.0509,0.006,17.87,1.03,0.0072,0.1924 (0.0545),1.11,1.13,8.37,80983,280211,23446.0,256765.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~."
I9_DISVEINLYMPH,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",both_sexes,0.0156,0.0018,0.0921,0.0105,17.65,1.05,0.0085,0.2824 (0.046),1.14,1.19,3.29,0,361194,11867.0,349327.0,,
20003_1140879802,Treatment/medication code: amlodipine,both_sexes,0.0154,0.0017,0.0789,0.0089,19.18,1.04,0.0076,0.2157 (0.0445),1.13,1.17,4.04,53,361141,14588.0,346553.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003,Code for treatment Negative codes indicate free-text entry.
3591,Ever had hysterectomy (womb removed),female,0.0154,0.0025,0.0507,0.0081,9.44,1.02,0.0066,0.2461 (0.0745),1.08,1.09,8.15,22761,171413,13973.0,157440.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3591,"ACE touchscreen question ""Have you had a hysterectomy (womb removed)?"" ~F3591~ was collected from all women except those who indicated they have had a hysterectomy (womb removed), as defined by their answers to ~F2724~"
2784,Ever taken oral contraceptive pill,female,0.0153,0.0022,0.0332,0.0049,11.75,1.02,0.0065,0.2254 (0.0713),1.09,1.09,82.45,461,193713,159724.0,33989.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2784,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')"""
6154_2,"Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)",both_sexes,0.0153,0.0014,0.0361,0.0033,27.38,1.02,0.0069,0.1395 (0.0481),1.13,1.14,14.86,4110,357084,53049.0,304035.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,"ACE touchscreen question ""Do you regularly take any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Some over the counter medicines are known by other names. Please enter the corresponding name if you take any of the following REGULARLY (that is, most days of the week for the last 4 weeks): Aspirin: Alka Rapid Crystals, Alka-Seltzer XS, Anadin Extra, Anadin Original, Askit powders, Aspro Clear, Codis 500, Disprin, Disprin Extra Ibuprofen: Anadin Ultra, Anadin Ibuprofen, Cuprofen Plus, Nurofen, Solpaflex, Ibuleve Paracetamol: Anadin Extra, Hedex Extra, Panadol, Paracodol, Paramol, Solpadeine, Syndol, Veganin, Feminax, Midrid, Migraleve Codeine: Codis 500, Cuprofen Plus, Nurofen Plus, Panadol Ultra, Paracodol, Paramol, Solpadeine Max, Sopadeine Plus, Solpafelx, Syndol, Veganin, Feminax, Migraleve "
20002_1387,"Non-cancer illness code, self-reported: hayfever/allergic rhinitis",both_sexes,0.015,0.0017,0.0613,0.0072,18.26,1.04,0.0074,0.2547 (0.0419),1.14,1.18,5.72,53,361141,20667.0,340474.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20003_1140868226,Treatment/medication code: aspirin,both_sexes,0.015,0.0015,0.0373,0.0038,23.12,1.04,0.0067,0.2375 (0.0386),1.15,1.17,13.31,53,361141,48081.0,313060.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003,Code for treatment Negative codes indicate free-text entry.
M13_OTHERJOINT,#Other joint disorders,both_sexes,0.0149,0.0017,0.0513,0.0058,18.03,1.03,0.0072,0.1805 (0.046),1.15,1.16,7.57,0,361194,27347.0,333847.0,,
6138_4,Qualifications: CSEs or equivalent,both_sexes,0.0148,0.0016,0.0372,0.004,19.95,1.04,0.0067,0.2369 (0.0424),1.15,1.16,13.05,3645,357549,46672.0,310877.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: A levels/AS levels and equivalent includes the Higher School Certificate O levels/GCSEs and equivalent includes the School Certificate. "
G56,Diagnoses - main ICD10: G56 Mononeuropathies of upper limb,both_sexes,0.0147,0.0016,0.113,0.0126,19.7,1.02,0.0076,0.1672 (0.0511),1.13,1.15,2.25,0,361194,8130.0,353064.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
C_BREAST_3,Malignant neoplasm of breast,female,0.0146,0.0029,0.0655,0.0129,6.62,1.04,0.0076,0.3362 (0.0695),1.07,1.11,4.98,0,194174,9669.0,184505.0,,
G6_CARPTU,Carpal tunnel syndrome,both_sexes,0.0146,0.0017,0.1136,0.0131,17.35,1.03,0.0078,0.1761 (0.0525),1.13,1.15,2.21,0,361194,7973.0,353221.0,,
20117_2,Alcohol drinker status: Current,both_sexes,0.0145,0.0015,0.0544,0.0057,21.68,1.04,0.0071,0.2675 (0.0428),1.16,1.17,93.4,468,360726,336919.0,23807.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20117,
K40,Diagnoses - main ICD10: K40 Inguinal hernia,both_sexes,0.0145,0.0019,0.0798,0.0106,13.94,1.03,0.0073,0.1818 (0.0484),1.11,1.15,3.64,0,361194,13147.0,348047.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
6149_3,Mouth/teeth dental problems: Bleeding gums,both_sexes,0.0143,0.0015,0.0361,0.0038,21.12,1.04,0.0073,0.2468 (0.0429),1.15,1.17,12.98,1353,359841,46694.0,313147.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149,"ACE touchscreen question ""Do you have any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Answer this question thinking about the past year. "
2834,Bilateral oophorectomy (both ovaries removed),female,0.0142,0.0026,0.0469,0.0087,7.63,1.03,0.0073,0.2667 (0.0766),1.08,1.1,8.16,2659,191515,15629.0,175886.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2834,"ACE touchscreen question ""Have you had BOTH ovaries removed?"" If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. "
C44,Diagnoses - main ICD10: C44 Other malignant neoplasms of skin,both_sexes,0.0139,0.0023,0.099,0.0165,9.12,1.03,0.0082,0.1751 (0.0569),1.09,1.14,2.52,0,361194,9086.0,352108.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
6139_3,Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time,both_sexes,0.0139,0.0014,0.0428,0.0045,22.81,1.03,0.0073,0.2072 (0.0494),1.13,1.15,9.07,1128,360066,32662.0,327404.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139,"ACE touchscreen question ""Do you have any of the following in your home? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Solid fuel refers to wood or coal. Regular use is when you use this for most days of the week in the winter time. "
6160_4,Leisure/social activities: Adult education class,both_sexes,0.0137,0.0015,0.0487,0.0052,19.48,1.01,0.0064,0.0626 (0.0531),1.11,1.12,7.18,1131,360063,25842.0,334221.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If this varies, please think about activities in the last year. "
20111_1,Illnesses of siblings: Heart disease,both_sexes,0.0137,0.002,0.0397,0.0059,11.43,1.03,0.0072,0.2368 (0.0594),1.12,1.12,10.22,80410,280784,28696.0,252088.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~."
6150_1,Vascular/heart problems diagnosed by doctor: Heart attack,both_sexes,0.0136,0.0014,0.10300000000000001,0.0106,21.88,1.03,0.0071,0.2166 (0.0479),1.11,1.15,2.3,774,360420,8288.0,352132.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150,"ACE touchscreen question ""Has a doctor ever told you that you have had any of the following conditions? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you do not know if you have had any of the listed conditions, enter None of the above. You can check this with an interviewer later in the visit. "
I9_CHD,Major coronary heart disease event,both_sexes,0.0134,0.0017,0.0883,0.0109,14.79,1.02,0.0073,0.153 (0.052),1.1,1.14,2.81,0,361194,10157.0,351037.0,,
C50,Diagnoses - main ICD10: C50 Malignant neoplasm of breast,female,0.0134,0.0028,0.0667,0.0139,6.07,1.02,0.0071,0.2727 (0.0791),1.06,1.09,4.25,0,194174,8246.0,185928.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
G6_NERPLEX,"Nerve, nerve root and plexus disorders",both_sexes,0.0134,0.0016,0.084,0.0102,16.56,1.03,0.0076,0.1942 (0.0541),1.12,1.14,3.02,0,361194,10898.0,350296.0,,
6154_5,"Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)",both_sexes,0.0134,0.0014,0.0532,0.0057,21.28,1.04,0.0069,0.275 (0.0462),1.14,1.15,6.01,4110,357084,21464.0,335620.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,"ACE touchscreen question ""Do you regularly take any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Some over the counter medicines are known by other names. Please enter the corresponding name if you take any of the following REGULARLY (that is, most days of the week for the last 4 weeks): Aspirin: Alka Rapid Crystals, Alka-Seltzer XS, Anadin Extra, Anadin Original, Askit powders, Aspro Clear, Codis 500, Disprin, Disprin Extra Ibuprofen: Anadin Ultra, Anadin Ibuprofen, Cuprofen Plus, Nurofen, Solpaflex, Ibuleve Paracetamol: Anadin Extra, Hedex Extra, Panadol, Paracodol, Paramol, Solpadeine, Syndol, Veganin, Feminax, Midrid, Migraleve Codeine: Codis 500, Cuprofen Plus, Nurofen Plus, Panadol Ultra, Paracodol, Paramol, Solpadeine Max, Sopadeine Plus, Solpafelx, Syndol, Veganin, Feminax, Migraleve "
6159_5,Pain type(s) experienced in last month: Stomach or abdominal pain,both_sexes,0.0133,0.0014,0.0429,0.0046,20.98,1.03,0.0071,0.2301 (0.0467),1.14,1.15,8.41,803,360391,30306.0,330085.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159,"ACE touchscreen question ""In the last month have you experienced any of the following that interfered with your usual activites? (You can select more than one answer)"" The following checks were performed: If code 8 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
2207,Wears glasses or contact lenses,both_sexes,0.0132,0.0013,0.0369,0.0037,23.8,1.01,0.006999999999999999,0.0824 (0.0589),1.11,1.12,89.21,517,360677,321768.0,38909.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2207,"ACE touchscreen question ""Do you wear glasses or contact lenses to correct your vision?"""
20002_1286,"Non-cancer illness code, self-reported: depression",both_sexes,0.0132,0.0014,0.054000000000000006,0.0058,20.68,1.02,0.0066,0.1418 (0.052),1.11,1.13,5.72,53,361141,20648.0,340493.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
6148_4,Eye problems/disorders: Cataract,both_sexes,0.0132,0.0035,0.0398,0.0106,4.09,1.02,0.0064,0.3169 (0.1131),1.06,1.06,9.5,243304,117890,11194.0,106696.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6148,"ACE touchscreen question ""Has a doctor told you that you have any of the following problems with your eyes? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you are not sure if you have had any of the listed eye problems enter Do not know. "
20002_1465,"Non-cancer illness code, self-reported: osteoarthritis",both_sexes,0.0131,0.0015,0.0427,0.0049,17.91,1.05,0.006999999999999999,0.2907 (0.0428),1.14,1.16,8.32,53,361141,30046.0,331095.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
4803_14,"Tinnitus: Yes, but not now, but have in the past",both_sexes,0.013000000000000001,0.0033,0.0357,0.0091,4.39,1.0,0.0061,0,1.02,1.03,11.1,243312,117882,13080.0,104802.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4803,"ACE touchscreen question ""Do you get or have you had noises (such as ringing or buzzing) in your head or in one or both ears that lasts for more than five minutes at a time?"" ~F4803~ was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~"
20548_7,Manifestations of mania or irritability: I was easily distracted,both_sexes,0.0127,0.0037,0.0422,0.0122,3.52,1.01,0.0057,0.1876 (0.124),1.05,1.05,8.01,246772,114422,9162.0,105260.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548,"Question asked: ""Please try to remember a period when you were in a ""high"" or ""irritable"" state and select all of the following that apply:"" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes."
2463,Fractured/broken bones in last 5 years,both_sexes,0.0127,0.0016,0.038,0.0048,14.99,1.03,0.0069,0.2218 (0.0494),1.12,1.14,9.68,1953,359241,34780.0,324461.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2463,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2877_1,Type of tobacco previously smoked: Manufactured cigarettes,both_sexes,0.0125,0.0043,0.0339,0.0116,2.74,1.01,0.0063,0.2306 (0.1855),1.03,1.03,88.67,271970,89224,79113.0,10111.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2877,"ACE touchscreen question ""What type of tobacco did you usually smoke?"" If the participant activated the Help button they were shown the message: If you smoked both hand-rolled and manufactured cigarettes select the one that you smoked more of. ~F2877~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~"
20001_1002,"Cancer code, self-reported: breast cancer",female,0.0125,0.003,0.0638,0.0152,4.81,1.03,0.0071,0.3084 (0.0793),1.06,1.09,4.1,21,194153,7968.0,186185.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20001,"Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20107_9,Illnesses of father: Diabetes,both_sexes,0.0124,0.0017,0.0371,0.0052,12.82,1.05,0.0073,0.3247 (0.0513),1.11,1.14,9.58,47900,313294,30010.0,283284.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Has/did your father ever suffer from? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
20107_3,Illnesses of father: Lung cancer,both_sexes,0.0123,0.0017,0.0376,0.0051,12.63,1.0,0.0068,0.0108 (0.0747),1.09,1.09,9.3,47122,314072,29206.0,284866.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Has/did your father ever suffer from? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses."
M16,Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip],both_sexes,0.0122,0.0018,0.0861,0.0129,11.21,1.04,0.008,0.268 (0.0555),1.12,1.14,2.53,0,361194,9136.0,352058.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202,
6153_4,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy",female,0.0117,0.0023,0.0405,0.0079,6.74,1.01,0.006,0.1562 (0.0977),1.06,1.06,7.45,1028,193146,14384.0,178762.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153,"ACE touchscreen question ""Do you regularly take any of the following medications? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit. "
